PassengerId,Survived,SibSp,Parch,Fare,Cabin_flag,Age_,Pclass_low,Pclass_med,Sex_male,Embarked_Q,Embarked_S,Age_scaled,Fare_scaled
1,0,1,0,7.25,0,22.0,1,0,1,0,1,0.275,0.014151057562208049
2,1,1,0,71.2833,1,38.0,0,0,0,0,0,0.47500000000000003,0.13913573538264068
3,1,0,0,7.925,0,26.0,1,0,0,0,1,0.325,0.015468569817999833
4,1,1,0,53.1,1,35.0,0,0,0,0,1,0.4375,0.10364429745562033
5,0,0,0,8.05,0,35.0,1,0,1,0,1,0.4375,0.015712553569072387
6,0,0,0,8.4583,0,24.0,1,0,1,1,0,0.30000000000000004,0.01650950209357577
7,0,0,0,51.8625,1,54.0,0,0,1,0,1,0.675,0.10122885832000206
8,0,3,1,21.075,0,2.0,1,0,1,0,1,0.025,0.04113566043083236
9,1,0,2,11.1333,0,27.0,1,0,0,0,1,0.3375,0.021730754366528396
10,1,1,0,30.0708,0,14.0,0,1,0,0,0,0.17500000000000002,0.058694292654020104
11,1,1,1,16.7,1,4.0,1,0,0,0,1,0.05,0.03259622914329302
12,1,0,0,26.55,1,58.0,0,0,0,0,1,0.7250000000000001,0.051822148727810165
13,0,0,0,8.05,0,20.0,1,0,1,0,1,0.25,0.015712553569072387
14,0,1,5,31.275,0,39.0,1,0,1,0,1,0.48750000000000004,0.06104473451835265
15,0,0,0,7.8542,0,14.0,1,0,0,0,1,0.17500000000000002,0.015330377421392339
16,1,0,0,16.0,0,55.0,0,1,0,0,1,0.6875,0.03122992013728673
17,0,4,1,29.125,0,2.0,1,0,1,1,0,0.025,0.05684821399990475
18,1,0,0,13.0,0,24.0,0,1,1,0,1,0.30000000000000004,0.025374310111545468
19,0,1,0,18.0,0,31.0,1,0,0,0,1,0.3875,0.03513366015444757
20,1,0,0,7.225,0,28.0,1,0,0,0,0,0.35000000000000003,0.014102260811993537
21,0,0,0,26.0,0,35.0,0,1,1,0,1,0.4375,0.050748620223090936
22,1,0,0,13.0,1,34.0,0,1,1,0,1,0.42500000000000004,0.025374310111545468
23,1,0,0,8.0292,0,15.0,1,0,0,1,0,0.1875,0.015671954672893913
24,1,0,0,35.5,1,28.0,0,0,1,0,1,0.35000000000000003,0.06929138530460494
25,0,3,1,21.075,0,8.0,1,0,0,0,1,0.1,0.04113566043083236
26,1,1,5,31.3875,0,38.0,1,0,0,0,1,0.47500000000000003,0.06126431989431795
27,0,0,0,7.225,0,28.0,1,0,1,0,0,0.35000000000000003,0.014102260811993537
28,0,3,2,263.0,1,19.0,0,0,1,0,1,0.23750000000000002,0.5133418122566507
29,1,0,0,7.8792,0,19.0,1,0,0,1,0,0.23750000000000002,0.01537917417160685
30,0,0,0,7.8958,0,33.0,1,0,1,0,1,0.41250000000000003,0.015411575213749286
31,0,0,0,27.7208,0,40.0,0,0,1,0,0,0.5,0.05410739813385612
32,1,1,0,146.5208,1,43.0,0,0,0,0,0,0.5375,0.2859895551532101
33,1,0,0,7.75,0,35.0,1,0,0,1,0,0.4375,0.015126992566498259
34,0,0,0,10.5,0,66.0,0,1,1,0,1,0.8250000000000001,0.020494635090094415
35,0,1,0,82.1708,0,28.0,0,0,1,0,0,0.35000000000000003,0.16038672010106003
36,0,1,0,52.0,0,42.0,0,0,1,0,1,0.525,0.10149724044618187
37,1,0,0,7.2292,0,23.0,1,0,1,0,0,0.28750000000000003,0.014110458666029575
38,0,0,0,8.05,0,21.0,1,0,1,0,1,0.2625,0.015712553569072387
39,0,2,0,18.0,0,18.0,1,0,0,0,1,0.225,0.03513366015444757
40,1,1,0,11.2417,0,14.0,1,0,0,0,0,0.17500000000000002,0.021942337075458514
41,0,1,0,9.475,0,40.0,1,0,0,0,1,0.5,0.018493968331299484
42,0,1,0,21.0,0,27.0,0,1,0,0,1,0.3375,0.04098927018018883
43,0,0,0,7.8958,0,33.0,1,0,1,0,0,0.41250000000000003,0.015411575213749286
44,1,1,2,41.5792,0,3.0,0,1,0,0,0,0.037500000000000006,0.08115719346076702
45,1,0,0,7.8792,0,19.0,1,0,0,1,0,0.23750000000000002,0.01537917417160685
46,0,0,0,8.05,0,19.0,1,0,1,0,1,0.23750000000000002,0.015712553569072387
47,0,1,0,15.5,0,34.0,1,0,1,1,0,0.42500000000000004,0.030253985132996517
48,1,0,0,7.75,0,35.0,1,0,0,1,0,0.4375,0.015126992566498259
49,0,2,0,21.6792,0,12.0,1,0,1,0,0,0.15000000000000002,0.04231498029001666
50,0,1,0,17.8,0,18.0,1,0,0,0,1,0.225,0.034743286152731485
51,0,4,1,39.6875,0,7.0,1,0,1,0,1,0.08750000000000001,0.07746484096553544
52,0,0,0,7.8,0,21.0,1,0,1,0,1,0.2625,0.01522458606692728
53,1,1,0,76.7292,1,49.0,0,0,0,0,0,0.6125,0.1497654242623688
54,1,1,0,26.0,0,29.0,0,1,0,0,1,0.36250000000000004,0.050748620223090936
55,0,0,1,61.9792,1,65.0,0,0,1,0,0,0.8125,0.1209753416358076
56,1,0,0,35.5,1,43.0,0,0,1,0,1,0.5375,0.06929138530460494
57,1,0,0,10.5,0,21.0,0,1,0,0,1,0.2625,0.020494635090094415
58,0,0,0,7.2292,0,28.0,1,0,1,0,0,0.35000000000000003,0.014110458666029575
59,1,1,2,27.75,0,5.0,0,1,0,0,1,0.0625,0.05416439273810667
60,0,5,2,46.9,0,11.0,1,0,1,0,1,0.1375,0.09154270340242172
61,0,0,0,7.2292,0,22.0,1,0,1,0,0,0.275,0.014110458666029575
62,1,0,0,80.0,1,38.0,0,0,0,0,0,0.47500000000000003,0.15614960068643363
63,0,1,0,83.475,1,45.0,0,0,1,0,1,0.5625,0.16293234896625058
64,0,3,2,27.9,0,4.0,1,0,1,0,1,0.05,0.05445717323939373
65,0,0,0,27.7208,0,40.0,0,0,1,0,0,0.5,0.05410739813385612
66,1,1,1,15.2458,0,9.0,1,0,1,0,0,0.1125,0.029757819776815374
67,1,0,0,10.5,1,29.0,0,1,0,0,1,0.36250000000000004,0.020494635090094415
68,0,0,0,8.1583,0,19.0,1,0,1,0,1,0.23750000000000002,0.015923941091001644
69,1,4,2,7.925,0,17.0,1,0,0,0,1,0.21250000000000002,0.015468569817999833
70,0,2,0,8.6625,0,26.0,1,0,1,0,1,0.325,0.016908073949327893
71,0,0,0,10.5,0,32.0,0,1,1,0,1,0.4,0.020494635090094415
72,0,5,2,46.9,0,16.0,1,0,0,0,1,0.2,0.09154270340242172
73,0,0,0,73.5,0,21.0,0,1,1,0,1,0.2625,0.1434624456306609
74,0,1,0,14.4542,0,26.0,1,0,1,0,0,0.325,0.028212719478023115
75,1,0,0,56.4958,0,32.0,1,0,1,0,1,0.4,0.11027245763075773
76,0,0,0,7.65,1,25.0,1,0,1,0,1,0.3125,0.014931805565640218
77,0,0,0,7.8958,0,33.0,1,0,1,0,1,0.41250000000000003,0.015411575213749286
78,0,0,0,8.05,0,19.0,1,0,1,0,1,0.23750000000000002,0.015712553569072387
79,1,0,2,29.0,0,1.0,0,1,1,0,1,0.0125,0.056604230248832196
80,1,0,0,12.475,0,30.0,1,0,0,0,1,0.375,0.024349578357040744
81,0,0,0,9.0,0,22.0,1,0,1,0,1,0.275,0.017566830077223785
82,1,0,0,9.5,0,29.0,1,0,1,0,1,0.36250000000000004,0.018542765081513996
83,1,0,0,7.7875,0,22.0,1,0,0,1,0,0.275,0.015200187691820024
84,0,0,0,47.1,0,28.0,0,0,1,0,1,0.35000000000000003,0.09193307740413781
85,1,0,0,10.5,0,17.0,0,1,0,0,1,0.21250000000000002,0.020494635090094415
86,1,3,0,15.85,0,33.0,1,0,0,0,1,0.41250000000000003,0.030937139635999665
87,0,1,3,34.375,0,16.0,1,0,1,0,1,0.2,0.06709553154495196
88,0,0,0,8.05,0,19.0,1,0,1,0,1,0.23750000000000002,0.015712553569072387
89,1,3,2,263.0,1,23.0,0,0,0,0,1,0.28750000000000003,0.5133418122566507
90,0,0,0,8.05,0,24.0,1,0,1,0,1,0.30000000000000004,0.015712553569072387
91,0,0,0,8.05,0,29.0,1,0,1,0,1,0.36250000000000004,0.015712553569072387
92,0,0,0,7.8542,0,20.0,1,0,1,0,1,0.25,0.015330377421392339
93,0,1,0,61.175,1,46.0,0,0,1,0,1,0.5750000000000001,0.11940564777490723
94,0,1,2,20.575,0,26.0,1,0,1,0,1,0.325,0.04015972542654215
95,0,0,0,7.25,0,59.0,1,0,1,0,1,0.7375,0.014151057562208049
96,0,0,0,8.05,0,19.0,1,0,1,0,1,0.23750000000000002,0.015712553569072387
97,0,0,0,34.6542,1,71.0,0,0,1,0,0,0.8875000000000001,0.06764049365134761
98,1,0,1,63.3583,1,23.0,0,0,1,0,0,0.28750000000000003,0.12366716556464086
99,1,0,1,23.0,0,34.0,0,1,0,0,1,0.42500000000000004,0.044893010197349675
100,0,1,0,26.0,0,34.0,0,1,1,0,1,0.42500000000000004,0.050748620223090936
101,0,0,0,7.8958,0,28.0,1,0,0,0,1,0.35000000000000003,0.015411575213749286
102,0,0,0,7.8958,0,33.0,1,0,1,0,1,0.41250000000000003,0.015411575213749286
103,0,0,1,77.2875,1,21.0,0,0,1,0,1,0.2625,0.15085515328815924
104,0,0,0,8.6542,0,33.0,1,0,1,0,1,0.41250000000000003,0.016891873428256675
105,0,2,0,7.925,0,37.0,1,0,1,0,1,0.4625,0.015468569817999833
106,0,0,0,7.8958,0,28.0,1,0,1,0,1,0.35000000000000003,0.015411575213749286
107,1,0,0,7.65,0,21.0,1,0,0,0,1,0.2625,0.014931805565640218
108,1,0,0,7.775,0,38.0,1,0,1,0,1,0.47500000000000003,0.015175789316712771
109,0,0,0,7.8958,0,38.0,1,0,1,0,1,0.47500000000000003,0.015411575213749286
110,1,1,0,24.15,0,32.0,1,0,0,1,0,0.4,0.04713766070721715
111,0,0,0,52.0,1,47.0,0,0,1,0,1,0.5875,0.10149724044618187
112,0,1,0,14.4542,0,14.0,1,0,0,0,0,0.17500000000000002,0.028212719478023115
113,0,0,0,8.05,0,22.0,1,0,1,0,1,0.275,0.015712553569072387
114,0,1,0,9.825,0,20.0,1,0,0,0,1,0.25,0.019177122834302632
115,0,0,0,14.4583,0,17.0,1,0,0,0,0,0.21250000000000002,0.028220722145058292
116,0,0,0,7.925,0,21.0,1,0,1,0,1,0.2625,0.015468569817999833
117,0,0,0,7.75,0,70.0,1,0,1,1,0,0.875,0.015126992566498259
118,0,1,0,21.0,0,29.0,0,1,1,0,1,0.36250000000000004,0.04098927018018883
119,0,0,1,247.5208,1,24.0,0,0,1,0,0,0.30000000000000004,0.4831284260198326
120,0,4,2,31.275,0,2.0,1,0,0,0,1,0.025,0.06104473451835265
121,0,2,0,73.5,0,21.0,0,1,1,0,1,0.2625,0.1434624456306609
122,0,0,0,8.05,0,19.0,1,0,1,0,1,0.23750000000000002,0.015712553569072387
123,0,1,0,30.0708,0,32.0,0,1,1,0,0,0.4,0.058694292654020104
124,1,0,0,13.0,1,32.0,0,1,0,0,1,0.4,0.025374310111545468
125,0,0,1,77.2875,1,54.0,0,0,1,0,1,0.675,0.15085515328815924
126,1,1,0,11.2417,0,12.0,1,0,1,0,0,0.15000000000000002,0.021942337075458514
127,0,0,0,7.75,0,35.0,1,0,1,1,0,0.4375,0.015126992566498259
128,1,0,0,7.1417,0,24.0,1,0,1,0,1,0.30000000000000004,0.01393967004027879
129,1,1,1,22.3583,1,13.0,1,0,0,0,0,0.1625,0.04364049521284362
130,0,0,0,6.975,0,45.0,1,0,1,0,1,0.5625,0.013614293309848433
131,0,0,0,7.8958,0,33.0,1,0,1,0,0,0.41250000000000003,0.015411575213749286
132,0,0,0,7.05,0,20.0,1,0,1,0,1,0.25,0.013760683560491965
133,0,1,0,14.5,0,47.0,1,0,0,0,1,0.5875,0.028302115124416098
134,1,1,0,26.0,0,29.0,0,1,0,0,1,0.36250000000000004,0.050748620223090936
135,0,0,0,13.0,0,25.0,0,1,1,0,1,0.3125,0.025374310111545468
136,0,0,0,15.0458,0,23.0,0,1,1,0,0,0.28750000000000003,0.02936744577509929
137,1,0,2,26.2833,1,19.0,0,0,0,0,1,0.23750000000000002,0.051301584996521765
138,0,1,0,53.1,1,37.0,0,0,1,0,1,0.4625,0.10364429745562033
139,0,0,0,9.2167,0,16.0,1,0,1,0,1,0.2,0.01798980030808316
140,0,0,0,79.2,1,24.0,0,0,1,0,0,0.30000000000000004,0.15458810467956932
141,0,0,2,15.2458,0,29.0,1,0,0,0,0,0.36250000000000004,0.029757819776815374
142,1,0,0,7.75,0,22.0,1,0,0,0,1,0.275,0.015126992566498259
143,1,1,0,15.85,0,24.0,1,0,0,0,1,0.30000000000000004,0.030937139635999665
144,0,0,0,6.75,0,19.0,1,0,1,1,0,0.23750000000000002,0.013175122557917838
145,0,0,0,11.5,0,18.0,0,1,1,0,1,0.225,0.022446505098674838
146,0,1,1,36.75,0,19.0,0,1,1,0,1,0.23750000000000002,0.07173122281533045
147,1,0,0,7.7958,0,27.0,1,0,1,0,1,0.3375,0.015216388212891242
148,0,2,2,34.375,0,9.0,1,0,0,0,1,0.1125,0.06709553154495196
149,0,0,2,26.0,1,36.0,0,1,1,0,1,0.45,0.050748620223090936
150,0,0,0,13.0,0,42.0,0,1,1,0,1,0.525,0.025374310111545468
151,0,0,0,12.525,0,51.0,0,1,1,0,1,0.6375000000000001,0.02444717185746977
152,1,1,0,66.6,1,22.0,0,0,0,0,1,0.275,0.12999454257145598
153,0,0,0,8.05,0,56.0,1,0,1,0,1,0.7000000000000001,0.015712553569072387
154,0,0,2,14.5,0,40.0,1,0,1,0,1,0.5,0.028302115124416098
155,0,0,0,7.3125,0,22.0,1,0,1,0,1,0.275,0.014273049437744325
156,0,0,1,61.3792,0,51.0,0,0,1,0,0,0.6375000000000001,0.11980421963065935
157,1,0,0,7.7333,0,16.0,1,0,0,1,0,0.2,0.015094396337354966
158,0,0,0,8.05,0,30.0,1,0,1,0,1,0.375,0.015712553569072387
159,0,0,0,8.6625,0,24.0,1,0,1,0,1,0.30000000000000004,0.016908073949327893
160,0,8,2,69.55,0,37.0,1,0,1,0,1,0.4625,0.13575255909676825
161,0,0,1,16.1,0,44.0,1,0,1,0,1,0.55,0.031425107138144774
162,1,0,0,15.75,0,40.0,0,1,0,0,1,0.5,0.030741952635141623
163,0,0,0,7.775,0,26.0,1,0,1,0,1,0.325,0.015175789316712771
164,0,0,0,8.6625,0,17.0,1,0,1,0,1,0.21250000000000002,0.016908073949327893
165,0,4,1,39.6875,0,1.0,1,0,1,0,1,0.0125,0.07746484096553544
166,1,0,2,20.525,0,9.0,1,0,1,0,1,0.1125,0.04006213192611313
167,1,0,1,55.0,1,22.0,0,0,0,0,1,0.275,0.10735285047192313
168,0,1,4,27.9,0,45.0,1,0,0,0,1,0.5625,0.05445717323939373
169,0,0,0,25.925,0,60.0,0,0,1,0,1,0.75,0.050602229972447406
170,0,0,0,56.4958,0,28.0,1,0,1,0,1,0.35000000000000003,0.11027245763075773
171,0,0,0,33.5,1,61.0,0,0,1,0,1,0.7625000000000001,0.06538764528744409
172,0,4,1,29.125,0,4.0,1,0,1,1,0,0.05,0.05684821399990475
173,1,1,1,11.1333,0,1.0,1,0,0,0,1,0.0125,0.021730754366528396
174,0,0,0,7.925,0,21.0,1,0,1,0,1,0.2625,0.015468569817999833
175,0,0,0,30.6958,1,56.0,0,0,1,0,0,0.7000000000000001,0.05991421140938287
176,0,1,1,7.8542,0,18.0,1,0,1,0,1,0.225,0.015330377421392339
177,0,3,1,25.4667,0,19.0,1,0,1,0,1,0.23750000000000002,0.049707687947515
178,0,0,0,28.7125,1,50.0,0,0,0,0,0,0.625,0.05604306762136532
179,0,0,0,13.0,0,30.0,0,1,1,0,1,0.375,0.025374310111545468
180,0,0,0,0.0,0,36.0,1,0,1,0,1,0.45,0.0
181,0,8,2,69.55,0,37.0,1,0,0,0,1,0.4625,0.13575255909676825
182,0,0,0,15.05,0,25.0,0,1,1,0,0,0.3125,0.02937564362913533
183,0,4,2,31.3875,0,9.0,1,0,1,0,1,0.1125,0.06126431989431795
184,1,2,1,39.0,1,1.0,0,1,1,0,1,0.0125,0.07612293033463641
185,1,0,2,22.025,0,4.0,1,0,0,0,1,0.05,0.04298993693898376
186,0,0,0,50.0,1,37.0,0,0,1,0,1,0.4625,0.09759350042902103
187,1,1,0,15.5,0,34.0,1,0,0,1,0,0.42500000000000004,0.030253985132996517
188,1,0,0,26.55,0,45.0,0,0,1,0,1,0.5625,0.051822148727810165
189,0,1,1,15.5,0,40.0,1,0,1,1,0,0.5,0.030253985132996517
190,0,0,0,7.8958,0,36.0,1,0,1,0,1,0.45,0.015411575213749286
191,1,0,0,13.0,0,32.0,0,1,0,0,1,0.4,0.025374310111545468
192,0,0,0,13.0,0,19.0,0,1,1,0,1,0.23750000000000002,0.025374310111545468
193,1,1,0,7.8542,0,19.0,1,0,0,0,1,0.23750000000000002,0.015330377421392339
194,1,1,1,26.0,1,3.0,0,1,1,0,1,0.037500000000000006,0.050748620223090936
195,1,0,0,27.7208,1,44.0,0,0,0,0,0,0.55,0.05410739813385612
196,1,0,0,146.5208,1,58.0,0,0,0,0,0,0.7250000000000001,0.2859895551532101
197,0,0,0,7.75,0,35.0,1,0,1,1,0,0.4375,0.015126992566498259
198,0,0,1,8.4042,0,42.0,1,0,1,0,1,0.525,0.01640390592611157
199,1,0,0,7.75,0,35.0,1,0,0,1,0,0.4375,0.015126992566498259
200,0,0,0,13.0,0,24.0,0,1,0,0,1,0.30000000000000004,0.025374310111545468
201,0,0,0,9.5,0,28.0,1,0,1,0,1,0.35000000000000003,0.018542765081513996
202,0,8,2,69.55,0,37.0,1,0,1,0,1,0.4625,0.13575255909676825
203,0,0,0,6.4958,0,34.0,1,0,1,0,1,0.42500000000000004,0.012678957201736696
204,0,0,0,7.225,0,46.0,1,0,1,0,0,0.5750000000000001,0.014102260811993537
205,1,0,0,8.05,0,18.0,1,0,1,0,1,0.225,0.015712553569072387
206,0,0,1,10.4625,1,2.0,1,0,0,0,1,0.025,0.02042143996477265
207,0,1,0,15.85,0,32.0,1,0,1,0,1,0.4,0.030937139635999665
208,1,0,0,18.7875,0,26.0,1,0,1,0,0,0.325,0.036670757786204655
209,1,0,0,7.75,0,16.0,1,0,0,1,0,0.2,0.015126992566498259
210,1,0,0,31.0,1,40.0,0,0,1,0,0,0.5,0.060507970265993034
211,0,0,0,7.05,0,24.0,1,0,1,0,1,0.30000000000000004,0.013760683560491965
212,1,0,0,21.0,0,35.0,0,1,0,0,1,0.4375,0.04098927018018883
213,0,0,0,7.25,0,22.0,1,0,1,0,1,0.275,0.014151057562208049
214,0,0,0,13.0,0,30.0,0,1,1,0,1,0.375,0.025374310111545468
215,0,1,0,7.75,0,25.0,1,0,1,1,0,0.3125,0.015126992566498259
216,1,1,0,113.275,1,31.0,0,0,0,0,0,0.3875,0.22109807522194713
217,1,0,0,7.925,0,27.0,1,0,0,0,1,0.3375,0.015468569817999833
218,0,1,0,27.0,0,42.0,0,1,1,0,1,0.525,0.05270049023167135
219,1,0,0,76.2917,1,32.0,0,0,0,0,0,0.4,0.14891148113361488
220,0,0,0,10.5,0,30.0,0,1,1,0,1,0.375,0.020494635090094415
221,1,0,0,8.05,0,16.0,1,0,1,0,1,0.2,0.015712553569072387
222,0,0,0,13.0,0,27.0,0,1,1,0,1,0.3375,0.025374310111545468
223,0,0,0,8.05,0,51.0,1,0,1,0,1,0.6375000000000001,0.015712553569072387
224,0,0,0,7.8958,0,33.0,1,0,1,0,1,0.41250000000000003,0.015411575213749286
225,1,1,0,90.0,1,38.0,0,0,1,0,1,0.47500000000000003,0.17566830077223786
226,0,0,0,9.35,0,22.0,1,0,1,0,1,0.275,0.018249984580226933
227,1,0,0,10.5,0,19.0,0,1,1,0,1,0.23750000000000002,0.020494635090094415
228,0,0,0,7.25,0,20.0,1,0,1,0,1,0.25,0.014151057562208049
229,0,0,0,13.0,0,18.0,0,1,1,0,1,0.225,0.025374310111545468
230,0,3,1,25.4667,0,19.0,1,0,0,0,1,0.23750000000000002,0.049707687947515
231,1,1,0,83.475,1,35.0,0,0,0,0,1,0.4375,0.16293234896625058
232,0,0,0,7.775,0,29.0,1,0,1,0,1,0.36250000000000004,0.015175789316712771
233,0,0,0,13.5,0,59.0,0,1,1,0,1,0.7375,0.026350245115835676
234,1,4,2,31.3875,0,5.0,1,0,0,0,1,0.0625,0.06126431989431795
235,0,0,0,10.5,0,24.0,0,1,1,0,1,0.30000000000000004,0.020494635090094415
236,0,0,0,7.55,0,32.0,1,0,0,0,1,0.4,0.014736618564782174
237,0,1,0,26.0,0,44.0,0,1,1,0,1,0.55,0.050748620223090936
238,1,0,2,26.25,0,8.0,0,1,0,0,1,0.1,0.05123658772523604
239,0,0,0,10.5,0,19.0,0,1,1,0,1,0.23750000000000002,0.020494635090094415
240,0,0,0,12.275,0,33.0,0,1,1,0,1,0.41250000000000003,0.023959204355324663
241,0,1,0,14.4542,0,21.0,1,0,0,0,0,0.2625,0.028212719478023115
242,1,1,0,15.5,0,34.0,1,0,0,1,0,0.42500000000000004,0.030253985132996517
243,0,0,0,10.5,0,29.0,0,1,1,0,1,0.36250000000000004,0.020494635090094415
244,0,0,0,7.125,0,22.0,1,0,1,0,1,0.275,0.013907073811135496
245,0,0,0,7.225,0,30.0,1,0,1,0,0,0.375,0.014102260811993537
246,0,2,0,90.0,1,44.0,0,0,1,1,0,0.55,0.17566830077223786
247,0,0,0,7.775,0,25.0,1,0,0,0,1,0.3125,0.015175789316712771
248,1,0,2,14.5,0,24.0,0,1,0,0,1,0.30000000000000004,0.028302115124416098
249,1,1,1,52.5542,1,37.0,0,0,1,0,1,0.4625,0.10257896680493714
250,0,1,0,26.0,0,54.0,0,1,1,0,1,0.675,0.050748620223090936
251,0,0,0,7.25,0,29.0,1,0,1,0,1,0.36250000000000004,0.014151057562208049
252,0,1,1,10.4625,1,29.0,1,0,0,0,1,0.36250000000000004,0.02042143996477265
253,0,0,0,26.55,1,62.0,0,0,1,0,1,0.775,0.051822148727810165
254,0,1,0,16.1,0,30.0,1,0,1,0,1,0.375,0.031425107138144774
255,0,0,2,20.2125,0,41.0,1,0,0,0,1,0.5125000000000001,0.039452172548431745
256,1,0,2,15.2458,0,29.0,1,0,0,0,0,0.36250000000000004,0.029757819776815374
257,1,0,0,79.2,0,34.0,0,0,0,0,0,0.42500000000000004,0.15458810467956932
258,1,0,0,86.5,1,30.0,0,0,0,0,1,0.375,0.16883675574220638
259,1,0,0,512.3292,0,35.0,0,0,0,0,0,0.4375,1.0
260,1,0,1,26.0,0,50.0,0,1,0,0,1,0.625,0.050748620223090936
261,0,0,0,7.75,0,35.0,1,0,1,1,0,0.4375,0.015126992566498259
262,1,4,2,31.3875,0,3.0,1,0,1,0,1,0.037500000000000006,0.06126431989431795
263,0,1,1,79.65,1,52.0,0,0,1,0,1,0.65,0.1554664461834305
264,0,0,0,0.0,1,40.0,0,0,1,0,1,0.5,0.0
265,0,0,0,7.75,0,35.0,1,0,0,1,0,0.4375,0.015126992566498259
266,0,0,0,10.5,0,36.0,0,1,1,0,1,0.45,0.020494635090094415
267,0,4,1,39.6875,0,16.0,1,0,1,0,1,0.2,0.07746484096553544
268,1,1,0,7.775,0,25.0,1,0,1,0,1,0.3125,0.015175789316712771
269,1,0,1,153.4625,1,58.0,0,0,0,0,1,0.7250000000000001,0.2995388511917728
270,1,0,0,135.6333,1,35.0,0,0,0,0,1,0.4375,0.2647385704347907
271,0,0,0,31.0,0,30.0,0,0,1,0,1,0.375,0.060507970265993034
272,1,0,0,0.0,0,25.0,1,0,1,0,1,0.3125,0.0
273,1,0,1,19.5,0,41.0,0,1,0,0,1,0.5125000000000001,0.038061465167318204
274,0,0,1,29.7,1,37.0,0,0,1,0,0,0.4625,0.057970539254838485
275,1,0,0,7.75,0,35.0,1,0,0,1,0,0.4375,0.015126992566498259
276,1,1,0,77.9583,1,63.0,0,0,0,0,1,0.7875000000000001,0.15216446768991498
277,0,0,0,7.75,0,45.0,1,0,0,0,1,0.5625,0.015126992566498259
278,0,0,0,0.0,0,36.0,0,1,1,0,1,0.45,0.0
279,0,4,1,29.125,0,7.0,1,0,1,1,0,0.08750000000000001,0.05684821399990475
280,1,1,1,20.25,0,35.0,1,0,0,0,1,0.4375,0.03952536767375352
281,0,0,0,7.75,0,65.0,1,0,1,1,0,0.8125,0.015126992566498259
282,0,0,0,7.8542,0,28.0,1,0,1,0,1,0.35000000000000003,0.015330377421392339
283,0,0,0,9.5,0,16.0,1,0,1,0,1,0.2,0.018542765081513996
284,1,0,0,8.05,0,19.0,1,0,1,0,1,0.23750000000000002,0.015712553569072387
285,0,0,0,26.0,1,47.0,0,0,1,0,1,0.5875,0.050748620223090936
286,0,0,0,8.6625,0,33.0,1,0,1,0,0,0.41250000000000003,0.016908073949327893
287,1,0,0,9.5,0,30.0,1,0,1,0,1,0.375,0.018542765081513996
288,0,0,0,7.8958,0,22.0,1,0,1,0,1,0.275,0.015411575213749286
289,1,0,0,13.0,0,42.0,0,1,1,0,1,0.525,0.025374310111545468
290,1,0,0,7.75,0,22.0,1,0,0,1,0,0.275,0.015126992566498259
291,1,0,0,78.85,0,26.0,0,0,0,0,1,0.325,0.15390495017656614
292,1,1,0,91.0792,1,19.0,0,0,0,0,0,0.23750000000000002,0.17777475888549785
293,0,0,0,12.875,1,36.0,0,1,1,0,0,0.45,0.025130326360472913
294,0,0,0,8.85,0,24.0,1,0,0,0,1,0.30000000000000004,0.01727404957593672
295,0,0,0,7.8958,0,24.0,1,0,1,0,1,0.30000000000000004,0.015411575213749286
